bin,bin_range,n,mean_predicted,observed_rate
0,"[0.00, 0.10)",70,0.07194953448561822,0.3142857142857143
1,"[0.10, 0.20)",211,0.1529312073743077,0.3080568720379147
2,"[0.20, 0.30)",304,0.2520708916802005,0.35855263157894735
3,"[0.30, 0.40)",289,0.3479952954280527,0.42560553633217996
4,"[0.40, 0.50)",290,0.4516218490424855,0.43103448275862066
5,"[0.50, 0.60)",222,0.5473504195705879,0.47297297297297297
6,"[0.60, 0.70)",200,0.6473890461482145,0.535
7,"[0.70, 0.80)",142,0.7434529319619091,0.47183098591549294
8,"[0.80, 0.90)",88,0.8358073457906599,0.6136363636363636
9,"[0.90, 1.00)",10,0.9154209545610966,0.6
