bin,bin_range,n,mean_predicted,observed_rate
0,"[0.00, 0.10)",52,0.07459666210049781,0.23076923076923078
1,"[0.10, 0.20)",200,0.15466092016661567,0.36
2,"[0.20, 0.30)",295,0.2515793738857453,0.3593220338983051
3,"[0.30, 0.40)",288,0.3470354427612766,0.3854166666666667
4,"[0.40, 0.50)",295,0.4505646262241328,0.45084745762711864
5,"[0.50, 0.60)",235,0.548999117348024,0.4553191489361702
6,"[0.60, 0.70)",203,0.6460862873351146,0.5369458128078818
7,"[0.70, 0.80)",155,0.7458004776592853,0.4967741935483871
8,"[0.80, 0.90)",92,0.8362291135660556,0.5543478260869565
9,"[0.90, 1.00)",11,0.919940197854159,0.45454545454545453
