bin,bin_range,n,mean_predicted,observed_rate
0,"[0.00, 0.10)",8,0.08857440948486328,0.125
1,"[0.10, 0.20)",143,0.1602925956249237,0.16783216783216784
2,"[0.20, 0.30)",288,0.2523459494113922,0.3263888888888889
3,"[0.30, 0.40)",398,0.3512832522392273,0.3969849246231156
4,"[0.40, 0.50)",375,0.44925960898399353,0.4693333333333333
5,"[0.50, 0.60)",310,0.5470490455627441,0.4967741935483871
6,"[0.60, 0.70)",186,0.6443713307380676,0.5806451612903226
7,"[0.70, 0.80)",91,0.7420012354850769,0.6043956043956044
8,"[0.80, 0.90)",26,0.8277626037597656,0.5
9,"[0.90, 1.00)",1,0.9073669910430908,0.0
