bin,bin_range,n,mean_predicted,observed_rate
0,"[0.00, 0.10)",13,0.08148778975009918,0.0
1,"[0.10, 0.20)",173,0.16100122034549713,0.2254335260115607
2,"[0.20, 0.30)",328,0.25195926427841187,0.3353658536585366
3,"[0.30, 0.40)",358,0.35056164860725403,0.4273743016759777
4,"[0.40, 0.50)",329,0.4480680823326111,0.46504559270516715
5,"[0.50, 0.60)",294,0.548440158367157,0.5238095238095238
6,"[0.60, 0.70)",222,0.6436203122138977,0.5315315315315315
7,"[0.70, 0.80)",84,0.7394801378250122,0.4880952380952381
8,"[0.80, 0.90)",23,0.837786853313446,0.6086956521739131
9,"[0.90, 1.00)",2,0.9080358743667603,0.5
