bin,bin_range,n,mean_predicted,observed_rate
0,"[0.00, 0.10)",8,0.08500745892524719,0.0
1,"[0.10, 0.20)",150,0.1620749980211258,0.23333333333333334
2,"[0.20, 0.30)",298,0.2549172341823578,0.30201342281879195
3,"[0.30, 0.40)",411,0.34761103987693787,0.44038929440389296
4,"[0.40, 0.50)",375,0.450770765542984,0.4693333333333333
5,"[0.50, 0.60)",302,0.5480200052261353,0.4768211920529801
6,"[0.60, 0.70)",183,0.6422511339187622,0.5519125683060109
7,"[0.70, 0.80)",80,0.7410590052604675,0.6125
8,"[0.80, 0.90)",18,0.8348090052604675,0.3333333333333333
9,"[0.90, 1.00)",1,0.9127100706100464,1.0
