threshold,mean_pnl,std_pnl
0.05,325.8,127.22326831205052
0.1,327.0,123.920942539992
0.15,313.2,118.80303026438341
0.2,298.4,114.11327705398702
0.25,258.8,104.32909469558336
0.3,207.6,94.54226568048811
0.35,168.8,93.70037353180616
0.4,115.6,80.49248412118985
0.45,38.2,80.180795705705
0.5,-30.4,59.324868310009755
0.55,-120.0,50.37856687124
0.6,-191.6,55.65824287560648
0.65,-284.8,40.474189306272706
0.7,-352.8,28.22339455132922
0.75,-409.6,32.3579974658507
0.8,-467.4,28.917814578560392
0.85,-507.6,40.67234932973506
0.9,-529.8,44.332380942151076
0.95,-547.6,49.7135796337379
