threshold,mean_pnl,std_pnl
0.05,323.2,129.76039457399935
0.1,320.2,126.0641106738948
0.15,308.8,127.84115143411374
0.2,282.8,116.32953193407081
0.25,242.0,112.23012073414161
0.3,190.0,97.16377925955742
0.35,152.4,87.2710719539986
0.4,91.0,85.96045602484901
0.45,23.2,65.64876236457165
0.5,-43.6,49.07382194204971
0.55,-133.2,46.10162686934161
0.6,-222.0,36.70422319025428
0.65,-297.2,29.267046314925597
0.7,-363.2,30.876528302255746
0.75,-421.8,34.798850555729565
0.8,-480.0,36.03886790674757
0.85,-512.2,43.09709967039545
0.9,-535.4,48.49577301167598
0.95,-545.2,50.19322663467652
