threshold,mean_pnl,std_pnl
0.05,730.7,105.16206540383277
0.1,766.8,104.20729341077812
0.15,810.7,104.36455336942711
0.2,856.4,101.66828414013881
0.25,884.6,99.73835771657762
0.3,896.2,104.0267273348537
0.35,889.8,104.98314150376716
0.4,868.9,109.94744198934326
0.45,822.6,119.72359834218148
0.5,765.6,118.26639421238815
0.55,677.4,132.91854648618454
0.6,571.0,134.9729602550081
0.65,456.1,130.76406234130232
0.7,352.6,124.48389454061919
0.75,266.8,110.540309389833
0.8,194.7,88.49836156675444
0.85,127.0,66.90291473471092
0.9,78.0,50.24738799181506
0.95,30.4,23.026940743398807
