threshold,mean_pnl,std_pnl
0.05,366.6,117.79235968431908
0.1,442.4,119.7958263045921
0.15,533.4,118.07895663495677
0.2,623.2,107.44747554037741
0.25,690.8,100.85712666936334
0.3,739.6,108.41512809566754
0.35,751.2,101.91054901235691
0.4,730.6,116.74005310946197
0.45,659.6,123.61488583499965
0.5,583.4,135.69613111655025
0.55,469.8,146.52835902991612
0.6,327.4,164.3248003193675
0.65,159.0,158.02151752214
0.7,9.6,141.60310731053892
0.75,-114.2,130.73851766025192
0.8,-238.8,109.32044639499054
0.85,-333.0,82.59539938761722
0.9,-412.6,67.8191713308265
0.95,-481.0,42.56289463840541
