threshold,mean_pnl,std_pnl
0.05,711.6,108.90794277737506
0.1,712.3,108.21395473782482
0.15,702.2,102.55028035066506
0.2,673.0,94.72592042308166
0.25,633.0,85.37505490481396
0.3,581.6,79.05086969793564
0.35,508.9,68.33330081300039
0.4,438.0,64.71707657179827
0.45,365.5,48.838509395762685
0.5,291.1,37.31675227026061
0.55,216.9,35.2581905378027
0.6,148.5,16.95877354056006
0.65,97.9,27.490725708864073
0.7,47.3,18.029420401111068
0.75,27.5,13.307892395116516
0.8,11.2,5.582114294781145
0.85,1.6,2.2
0.9,0.2,0.9797958971132712
0.95,0.0,0.0
