threshold,mean_pnl,std_pnl
0.05,331.0,122.76481580648424
0.1,334.2,119.64179871600058
0.15,332.0,117.41209477732693
0.2,296.4,111.1082355183449
0.25,247.8,101.93409635642041
0.3,197.2,92.15942708155255
0.35,113.2,80.02349654945102
0.4,5.8,65.23618627724953
0.45,-88.2,40.59261016490563
0.5,-187.6,44.7598033954574
0.55,-272.0,31.240998703626616
0.6,-365.4,38.78453299963789
0.65,-421.2,53.20676648697983
0.7,-477.4,57.863978432181796
0.75,-514.0,58.137767414994535
0.8,-534.8,61.51227519771968
0.85,-543.6,51.11790293038242
0.9,-544.6,47.64703558459855
0.95,-546.4,48.0358199680197
