feature,xper_value,abs_xper_value
art_A,0.09322094230151862,0.09322094230151862
career_c_B_2,0.06564636532563439,0.06564636532563439
yoga_A,0.0642366307981625,0.0642366307981625
career_c_A_1,0.0583554528689492,0.0583554528689492
field_cd_A_15,0.055582899610125996,0.055582899610125996
field_cd_B_9,0.05522412722757105,0.05522412722757105
field_cd_A_5,0.05434889313670148,0.05434889313670148
museums_A,0.052152629234041244,0.052152629234041244
career_c_A_5,0.046533934603193036,0.046533934603193036
career_c_B_7,0.04421358180426669,0.04421358180426669
exphappy_A,0.04298585381787115,0.04298585381787115
tv_A,0.042711659171186425,0.042711659171186425
goal_A_2,0.03787767742569721,0.03787767742569721
field_cd_A_6,0.036218428516625836,0.036218428516625836
sinc1_1_A,0.02961476796894294,0.02961476796894294
music_A,0.027690175367222604,0.027690175367222604
field_cd_B_12,0.027452326778479853,0.027452326778479853
field_cd_A_10,0.02712851277661423,0.02712851277661423
career_c_B_9,0.02684102770022822,0.02684102770022822
field_cd_B_15,0.026710911832136405,0.026710911832136405
career_c_B_3,-0.02618165356140641,0.02618165356140641
date_A,0.025189032653510704,0.025189032653510704
exphappy_B,-0.02460514187265453,0.02460514187265453
exercise_B,0.02449546216480567,0.02449546216480567
hiking_B,0.02435105181237605,0.02435105181237605
tv_B,0.022166124081047126,0.022166124081047126
age_B,0.02190182598332962,0.02190182598332962
field_cd_B_17,0.020189062288900862,0.020189062288900862
amb1_1_A,-0.020169215020785922,0.020169215020785922
goal_B_2,-0.01990633403985718,0.01990633403985718
shopping_A,0.019546768878724446,0.019546768878724446
career_c_B_4,-0.019432745239747758,0.019432745239747758
amb3_1_B,0.019155801467121925,0.019155801467121925
dining_B,0.016112336511674173,0.016112336511674173
museums_B,-0.01560285590532762,0.01560285590532762
career_c_B_6,0.01536488886273448,0.01536488886273448
field_cd_A_12,0.015283386010296074,0.015283386010296074
career_c_A_3,0.015189257749808763,0.015189257749808763
career_c_A_13,-0.014891877923513878,0.014891877923513878
field_cd_A_8,-0.014843245710350445,0.014843245710350445
int_corr,-0.014791582284622035,0.014791582284622035
career_c_A_9,-0.014410643467759074,0.014410643467759074
dining_A,0.01377441766293801,0.01377441766293801
career_c_B_14,0.013474142357281896,0.013474142357281896
shar1_1_A,-0.013434064925906528,0.013434064925906528
field_cd_B_6,0.013227425692654025,0.013227425692654025
age_diff,0.013184376922498147,0.013184376922498147
career_c_A_8,0.012994588853752632,0.012994588853752632
field_cd_A_18,0.012759862294894692,0.012759862294894692
field_cd_B_10,0.012723497331152606,0.012723497331152606
career_c_B_16,0.012629706235696021,0.012629706235696021
field_cd_A_9,-0.012510404429712588,0.012510404429712588
shopping_B,0.012143097494612877,0.012143097494612877
field_cd_A_14,0.011975781977124395,0.011975781977124395
fun3_1_A,-0.011893349290423124,0.011893349290423124
career_c_B_10,0.011587885515368802,0.011587885515368802
field_cd_B_1,0.011459079099886091,0.011459079099886091
concerts_B,0.011457680400156137,0.011457680400156137
fun1_1_A,-0.011429322416609928,0.011429322416609928
goal_B_1,0.01133285440890535,0.01133285440890535
amb1_1_B,-0.010900344720615959,0.010900344720615959
field_cd_B_8,0.010498886295143253,0.010498886295143253
fit_score,-0.010239283799206607,0.010239283799206607
field_cd_B_3,0.010157579974941893,0.010157579974941893
career_c_B_8,-0.009924109492867964,0.009924109492867964
movies_A,0.009548390108882306,0.009548390108882306
field_cd_B_2,-0.009486720720202632,0.009486720720202632
sports_B,0.009473128602464922,0.009473128602464922
career_c_B_11,0.008961698597718615,0.008961698597718615
date_B,0.008781192357858588,0.008781192357858588
field_cd_A_11,0.008777778106602178,0.008777778106602178
goal_A_3,0.008742863618422029,0.008742863618422029
career_c_A_2,0.008633281385681632,0.008633281385681632
goal_A_NA,-0.008527393226858498,0.008527393226858498
age_A,0.008481355783108517,0.008481355783108517
career_c_A_11,0.00836935603936853,0.00836935603936853
income_missing_A,0.00833893926176596,0.00833893926176596
attr1_1_A,-0.0083336394138497,0.0083336394138497
abs_age_diff,-0.008289316982694764,0.008289316982694764
sinc1_1_B,0.008157757225303545,0.008157757225303545
goal_A_6,0.00803228671714068,0.00803228671714068
field_cd_B_11,-0.007922160286547688,0.007922160286547688
concerts_A,0.0077884352940836956,0.0077884352940836956
movies_B,-0.007724674203608653,0.007724674203608653
career_c_B_NA,0.007612490771150496,0.007612490771150496
imprelig_B,0.007317501275068546,0.007317501275068546
career_c_B_1,-0.006957785322944658,0.006957785322944658
attr1_1_B,-0.0067928093030524845,0.0067928093030524845
goal_A_1,0.006790862492186847,0.006790862492186847
career_c_A_17,0.006771702677923579,0.006771702677923579
theater_B,-0.006305797583896753,0.006305797583896753
field_cd_B_NA,0.006257816635383077,0.006257816635383077
goal_B_6,-0.0062505932496823135,0.0062505932496823135
reading_B,0.006229971443166103,0.006229971443166103
career_c_A_15,-0.006095746942610552,0.006095746942610552
imprace_B,-0.006082494667059086,0.006082494667059086
career_c_A_7,0.0060754848249265775,0.0060754848249265775
hiking_A,-0.006002319507507103,0.006002319507507103
fun1_1_B,-0.005964625291922532,0.005964625291922532
career_c_A_6,-0.005850403961119372,0.005850403961119372
career_c_B_17,-0.005843025797647599,0.005843025797647599
theater_A,0.005751025220837934,0.005751025220837934
field_cd_B_13,-0.005725093674356939,0.005725093674356939
clubbing_B,0.005396422196645687,0.005396422196645687
field_cd_A_13,0.005383459842573246,0.005383459842573246
tvsports_A,-0.005030907356383756,0.005030907356383756
career_c_B_5,0.004909605893142646,0.004909605893142646
field_cd_A_NA,-0.004720846331408232,0.004720846331408232
income_B,-0.0043694486477112195,0.0043694486477112195
field_cd_A_3,0.004317624339195376,0.004317624339195376
shar1_1_B,-0.004177466594119674,0.004177466594119674
sinc3_1_B,-0.004016420966647432,0.004016420966647432
clubbing_A,0.0036993083932137004,0.0036993083932137004
field_cd_A_7,-0.003545802125650255,0.003545802125650255
goal_B_NA,-0.0035004105079269564,0.0035004105079269564
attr3_1_A,0.0033260291402741004,0.0033260291402741004
intel3_1_A,0.0032709508480591137,0.0032709508480591137
goal_A_4,0.003186286002575782,0.003186286002575782
field_cd_B_5,-0.0030206563651933725,0.0030206563651933725
career_c_A_NA,0.003011201226209562,0.003011201226209562
reading_A,-0.002971492749347014,0.002971492749347014
field_cd_A_1,0.002960384003402237,0.002960384003402237
field_cd_B_14,-0.002927804606202297,0.002927804606202297
