feature,xper_value,abs_xper_value
field_cd_B_NA,0.13222590827252223,0.13222590827252223
imprelig_A,0.048280898846876225,0.048280898846876225
theater_A,0.045439703963544326,0.045439703963544326
abs_age_diff,0.03928661354098953,0.03928661354098953
date_B,0.03782822212876842,0.03782822212876842
age_B,0.03760320154769464,0.03760320154769464
age_A,0.03669209571301673,0.03669209571301673
career_c_B_7,0.034991272299378276,0.034991272299378276
field_cd_A_13,0.030062125355355917,0.030062125355355917
field_cd_A_18,0.030046880897133834,0.030046880897133834
field_cd_B_6,0.030024972460560045,0.030024972460560045
field_cd_B_5,0.028145301653689534,0.028145301653689534
shopping_A,0.025865128873654965,0.025865128873654965
field_cd_A_5,0.025737416287643748,0.025737416287643748
career_c_B_13,0.024800823893696623,0.024800823893696623
fun3_1_A,0.02374274019270309,0.02374274019270309
field_cd_A_16,0.023457677037702098,0.023457677037702098
sports_B,0.022734644733528018,0.022734644733528018
field_cd_A_3,0.022111350187365784,0.022111350187365784
reading_A,0.021530817529238615,0.021530817529238615
career_c_A_NA,0.020289938923690215,0.020289938923690215
career_c_B_11,0.019930547567632066,0.019930547567632066
career_c_A_13,0.019016086807894666,0.019016086807894666
attr1_1_A,0.019007265157195502,0.019007265157195502
income_missing_B,0.018752407471795074,0.018752407471795074
field_cd_A_10,0.018048966959763397,0.018048966959763397
museums_B,0.016657890792514285,0.016657890792514285
career_c_A_10,0.015680185728589077,0.015680185728589077
income_A,-0.015372070482261043,0.015372070482261043
shar1_1_B,0.014856324594843187,0.014856324594843187
career_c_A_16,0.014748598601555769,0.014748598601555769
field_cd_B_10,0.014333962353771448,0.014333962353771448
sinc3_1_B,0.013951116791411979,0.013951116791411979
amb3_1_A,0.013337254248978605,0.013337254248978605
int_corr,0.013281258783100047,0.013281258783100047
field_cd_A_17,-0.013108222703108683,0.013108222703108683
field_cd_A_11,0.013025106446644013,0.013025106446644013
career_c_B_6,0.012485563334559004,0.012485563334559004
career_c_B_16,-0.012196049471761198,0.012196049471761198
exphappy_B,-0.01165933218285213,0.01165933218285213
field_cd_B_16,0.011615258999312905,0.011615258999312905
gaming_B,0.011597361097454094,0.011597361097454094
fun1_1_A,0.011490239488518036,0.011490239488518036
attr3_1_A,-0.011221113784632478,0.011221113784632478
career_c_A_8,-0.011143187963730206,0.011143187963730206
art_A,0.011074460495428888,0.011074460495428888
exercise_B,0.011071098887973887,0.011071098887973887
goal_A_3,0.0107799112558111,0.0107799112558111
field_cd_B_9,0.010086422041398304,0.010086422041398304
career_c_B_5,0.010031430408731109,0.010031430408731109
gaming_A,-0.009997841756431973,0.009997841756431973
goal_A_NA,0.009878868045477303,0.009878868045477303
attr3_1_B,0.009873275226187158,0.009873275226187158
amb1_1_A,0.00963759684194732,0.00963759684194732
tv_B,0.009578369792608272,0.009578369792608272
goal_B_4,-0.00949982270785976,0.00949982270785976
career_c_B_9,0.009445520142213745,0.009445520142213745
field_cd_B_15,0.009429269551423314,0.009429269551423314
sinc3_1_A,0.008867994313736185,0.008867994313736185
career_c_B_14,0.008843348410642715,0.008843348410642715
career_c_B_2,0.008678528948885267,0.008678528948885267
career_c_A_11,0.008365702146498843,0.008365702146498843
movies_B,0.008243188351535336,0.008243188351535336
shar1_1_A,0.008072092778068193,0.008072092778068193
field_cd_A_14,0.008038756508125171,0.008038756508125171
field_cd_B_7,0.007906315482969085,0.007906315482969085
music_B,0.007868059604056005,0.007868059604056005
career_c_B_8,0.007844704420436615,0.007844704420436615
movies_A,0.0077360425470880565,0.0077360425470880565
hiking_B,0.00771812189222293,0.00771812189222293
career_c_B_3,0.00771306472938004,0.00771306472938004
fit_score,0.00762155439966154,0.00762155439966154
imprace_B,0.007486819594001459,0.007486819594001459
field_cd_A_15,0.007464709903940029,0.007464709903940029
age_diff,0.007461525966774001,0.007461525966774001
fun1_1_B,0.007446038311029841,0.007446038311029841
goal_A_6,0.007345840978141425,0.007345840978141425
field_cd_B_17,0.007274352366663301,0.007274352366663301
goal_A_2,0.007125002933710562,0.007125002933710562
career_c_A_6,0.006961938743932662,0.006961938743932662
sports_A,-0.006960603090411661,0.006960603090411661
career_c_A_2,0.0064920309322659695,0.0064920309322659695
dining_A,0.006324446515030201,0.006324446515030201
attr1_1_B,0.006301454138791211,0.006301454138791211
field_cd_B_4,0.005878588572772789,0.005878588572772789
field_cd_A_NA,0.005838601062109507,0.005838601062109507
exercise_A,0.005629825561104554,0.005629825561104554
yoga_A,0.005579206646672408,0.005579206646672408
career_c_A_9,0.005536856979315168,0.005536856979315168
field_cd_B_12,0.005527349913812135,0.005527349913812135
field_cd_A_4,-0.005320620291551385,0.005320620291551385
clubbing_A,-0.005193007125359658,0.005193007125359658
museums_A,0.005083984890575396,0.005083984890575396
career_c_B_12,0.005064116373095846,0.005064116373095846
field_cd_B_2,-0.005035406892397108,0.005035406892397108
field_cd_A_6,0.0050119761873634846,0.0050119761873634846
field_cd_A_7,0.004930169202436779,0.004930169202436779
goal_B_2,-0.0046792513305208994,0.0046792513305208994
field_cd_B_14,0.00440061403986819,0.00440061403986819
goal_B_NA,-0.004337986868107596,0.004337986868107596
go_out_A,0.00426938846479286,0.00426938846479286
career_c_A_12,0.004133378820747111,0.004133378820747111
career_c_A_5,0.004090754842276093,0.004090754842276093
music_A,0.00397167116396626,0.00397167116396626
theater_B,-0.0035485425804676427,0.0035485425804676427
date_A,0.003520912761584745,0.003520912761584745
field_cd_A_12,-0.003520346398274847,0.003520346398274847
art_B,-0.0034456965933898675,0.0034456965933898675
imprelig_B,0.0032306525671949764,0.0032306525671949764
career_c_A_14,-0.003213485673882927,0.003213485673882927
field_cd_A_9,0.0031665960518432695,0.0031665960518432695
career_c_A_7,0.0031230371754321293,0.0031230371754321293
shopping_B,-0.0030215146547885856,0.0030215146547885856
clubbing_B,-0.0029299133587007424,0.0029299133587007424
dining_B,0.0023685024578454844,0.0023685024578454844
field_cd_B_8,-0.002260128509645774,0.002260128509645774
sinc1_1_B,-0.0022548414025892333,0.0022548414025892333
go_out_B,-0.002222009494490175,0.002222009494490175
hiking_A,-0.0021789969859761253,0.0021789969859761253
career_c_A_4,0.00203177870822253,0.00203177870822253
field_cd_A_2,0.0020121994721367573,0.0020121994721367573
career_c_B_4,-0.0019814585222761704,0.0019814585222761704
field_cd_B_11,0.001920891242201459,0.001920891242201459
career_c_A_17,0.0018668227496507384,0.0018668227496507384
amb1_1_B,0.001860550356637615,0.001860550356637615
goal_A_5,0.0018098927852186945,0.0018098927852186945
tvsports_A,-0.0016103981435719404,0.0016103981435719404
field_cd_B_18,-0.001495565037250554,0.001495565037250554
concerts_A,0.0012978021402907298,0.0012978021402907298
exphappy_A,-0.0011996384984895125,0.0011996384984895125
career_c_A_15,0.0011622359083239418,0.0011622359083239418
intel3_1_A,0.0011133363987176769,0.0011133363987176769
tvsports_B,0.0010988596318511987,0.0010988596318511987
goal_A_4,0.0010159354901906957,0.0010159354901906957
imprace_A,-0.000993025515131738,0.000993025515131738
tv_A,0.0009824059107827845,0.0009824059107827845
intel1_1_A,0.0009085888542621928,0.0009085888542621928
income_missing_A,-0.0007639915621266402,0.0007639915621266402
reading_B,-0.0006541566202204974,0.0006541566202204974
intel1_1_B,-0.0006072292981867304,0.0006072292981867304
fun3_1_B,-0.0006008613416963363,0.0006008613416963363
sinc1_1_A,0.0005337726979723342,0.0005337726979723342
field_cd_A_8,0.0005199193542822599,0.0005199193542822599
intel3_1_B,-0.00042975766765412953,0.00042975766765412953
goal_B_5,0.00034017700649957924,0.00034017700649957924
concerts_B,-0.00030548670687740925,0.00030548670687740925
career_c_B_10,-0.0001294328550868593,0.0001294328550868593
career_c_B_15,-0.00012930621428456016,0.00012930621428456016
amb3_1_B,-0.0001274780447890434,0.0001274780447890434
field_cd_B_13,0.00012255647666223592,0.00012255647666223592
goal_B_3,6.740677959992997e-05,6.740677959992997e-05
income_B,-6.414307074300318e-05,6.414307074300318e-05
goal_B_6,5.05655133802761e-05,5.05655133802761e-05
career_c_A_3,5.05648624714248e-05,5.05648624714248e-05
yoga_B,-3.796071018638452e-05,3.796071018638452e-05
career_c_B_NA,-4.38147298316835e-06,4.38147298316835e-06
career_c_B_17,-3.7827041559672406e-06,3.7827041559672406e-06
field_cd_B_3,-2.2376740600997514e-06,2.2376740600997514e-06
