model,wave,n,positive_rate,auc
logit,1,200,0.555,0.5998582852515437
xgb,1,200,0.555,0.532442554914465
tabicl,1,200,0.555,0.5709079866383238
logit,2,608,0.37335526315789475,0.5776128204238787
xgb,2,608,0.37335526315789475,0.6059176523639391
tabicl,2,608,0.37335526315789475,0.6130516725056945
logit,6,50,0.5,0.632
xgb,6,50,0.5,0.6304
tabicl,6,50,0.5,0.6688
logit,9,800,0.43,0.5938392492860057
xgb,9,800,0.43,0.6417278661770706
tabicl,9,800,0.43,0.6599793451652386
logit,16,96,0.4583333333333333,0.583041958041958
xgb,16,96,0.4583333333333333,0.548513986013986
tabicl,16,96,0.4583333333333333,0.4873251748251748
logit,18,72,0.4444444444444444,0.5632812500000001
xgb,18,72,0.4444444444444444,0.5453125
tabicl,18,72,0.4444444444444444,0.6578125
