feature,reference_beta,p025,p975,sign_agreement
age_A,0.04724444785227455,-0.44526678232289646,0.4566471266959084,0.665
date_A,-0.1517521233581532,-0.243843654801806,-0.01894041383377295,0.995
go_out_A,0.08522313700604453,-0.043275322568652026,0.20903565948193564,0.935
imprace_A,-0.18086520277310944,-0.3146142200203819,-0.06352476345012743,1.0
imprelig_A,-0.11045666163588283,-0.2908511092965637,-0.024244741710898663,0.99
exphappy_A,0.18820917094320552,0.05439288202299502,0.32456610042270545,0.985
income_A,0.05980379493551417,-0.026119624827917055,0.2458624518521504,0.91
sports_A,-0.18092281750193343,-0.38786968184416204,0.04383907137058598,0.935
tvsports_A,0.09045972690736757,-0.09604397303932923,0.2525384865343349,0.815
exercise_A,-0.003924376208122538,-0.15892175315171636,0.1772689035955792,0.625
dining_A,0.002687297195993597,-0.13390461910327217,0.17027227993963326,0.455
museums_A,-0.19097516758600055,-0.43081414067165114,0.05576000198188327,0.935
art_A,0.08785934374315194,-0.0513545372539377,0.31182134004438666,0.885
hiking_A,-0.050505913804091175,-0.15047516262480654,0.09103608310500953,0.84
gaming_A,0.14707481720415766,-0.02361406015158751,0.25652461771739266,0.965
clubbing_A,0.10622242494056693,-0.07806709486564234,0.23455294422242784,0.92
reading_A,0.03125763740538425,-0.06287562017282293,0.15852612034085747,0.81
tv_A,0.14074825773941876,-0.019110136712806227,0.3553455405562277,0.945
theater_A,0.14770149734007462,0.011436473799971123,0.35680278670370486,0.985
movies_A,-0.2715187679241102,-0.4178133836855151,-0.21228012833175589,1.0
concerts_A,-0.09565493808821736,-0.24710003434517244,0.11828841874154679,0.83
music_A,0.07382020135364577,-0.07236347334119426,0.2310171720855851,0.86
shopping_A,-0.15979005193136003,-0.3725150081111181,0.07514411066933009,0.91
yoga_A,0.20811450815839463,0.08219815672772682,0.3257298608821225,0.995
attr1_1_A,-0.5948642360010353,-0.9203724940507618,0.02210425006754965,0.95
sinc1_1_A,-0.2838569868263867,-0.45079115658532054,0.08336346279894292,0.875
intel1_1_A,-0.3305364291098158,-0.5361900981780018,0.03079767150476544,0.96
fun1_1_A,-0.333069847370304,-0.5025089748519201,-0.030558091960635643,0.99
amb1_1_A,-0.24300968840509332,-0.46217096093032806,0.18482574145827338,0.87
shar1_1_A,-0.2108433121979055,-0.4267209710505239,0.21042524795798953,0.785
attr3_1_A,-0.18817881935916994,-0.3512298020155426,0.034086348758679115,0.96
sinc3_1_A,-0.10875544663005608,-0.26629353526683347,-0.021194385095107997,0.99
intel3_1_A,0.222304194274403,0.11484690625149108,0.32687571946586064,1.0
fun3_1_A,-0.0034915963407669164,-0.19172460535722696,0.1350878765865137,0.465
amb3_1_A,-0.018174836279019523,-0.17119282040910677,0.134597639726568,0.655
age_B,-0.19105388356833644,-0.6040502640130642,0.2554143415979474,0.86
date_B,-0.0424038653693363,-0.183453534062465,0.025645407214044527,0.94
go_out_B,-0.1054839622728469,-0.20863600379796,0.02101203066611078,0.945
imprace_B,-0.03780001203132782,-0.22017316276919177,0.06896938508172362,0.765
imprelig_B,0.046070907736045004,-0.05559638472028063,0.1364936240822965,0.865
exphappy_B,-0.10685229335604511,-0.18808137130923355,-0.033775071312186246,0.995
income_B,0.05903034495565048,-0.09542943119712118,0.21008775396157228,0.715
sports_B,0.15115371555067722,0.00085044806505949,0.33387683198359536,0.975
tvsports_B,-0.09730269185309072,-0.21941545200110316,0.023251370330424282,0.95
exercise_B,0.05752066745154174,-0.101670911056547,0.17865195883330617,0.795
dining_B,0.08986796780138284,-0.022493376960602,0.26193171794359404,0.945
museums_B,-0.06263244535649656,-0.21064683874769285,0.10273927567092984,0.72
art_B,0.12427634301581184,-0.1286833678592296,0.28137096997890054,0.865
hiking_B,0.09774219365407028,-0.052462105866724895,0.2588343094114919,0.92
gaming_B,-0.051094623451267356,-0.15941428053108078,0.08100098555903376,0.74
clubbing_B,0.10203364098232934,0.0014928607734577002,0.19714605760351758,0.98
reading_B,-0.03856412372931194,-0.19069275961704346,0.10746435637727332,0.68
tv_B,-0.0537324079476347,-0.21629045948807293,0.03403643817767858,0.905
