model,replicate,auc,flip_rate,probability_mae,vector_cosine_distance,vector_euclidean_distance
logit,0,0.5539759682319275,0.12869660460021906,0.07717110165042632,0.11016576669677103,0.770629712725959
xgb,0,0.6135668183805189,0.1686746987951807,0.08406396955251694,0.05545330047607422,0.030673962086439133
logit,1,0.5803158929749996,0.13855421686746988,0.09497593639233762,0.14862068630092384,1.0544645794959662
xgb,1,0.6032578682428255,0.25136911281489593,0.12163954973220825,0.13749665021896362,0.05018225684762001
logit,2,0.5776967167848908,0.09309967141292443,0.05787452188977258,0.07756851743743387,0.6847153213809819
xgb,2,0.6446369336903934,0.18565169769989048,0.08207886666059494,0.07970625162124634,0.036615729331970215
logit,3,0.5492653694458832,0.1801752464403067,0.11389254701124979,0.2497268834355847,1.176485497458101
xgb,3,0.6057741875839538,0.21193866374589265,0.1125742718577385,0.11355268955230713,0.04380972310900688
logit,4,0.5659012402821706,0.1248630887185104,0.09085222693313653,0.1818757133314961,1.160319882991746
xgb,4,0.5929219794065894,0.22508214676889376,0.11272529512643814,0.07756286859512329,0.03618355840444565
logit,5,0.5658167507276509,0.08214676889375684,0.04559653365912224,0.10622654543259225,0.701138259553691
xgb,5,0.6224614868447315,0.13362541073384446,0.06661604344844818,0.05338078737258911,0.029468223452568054
logit,6,0.586875466070097,0.1429353778751369,0.09334982004976004,0.21935611379150655,1.1609900473259795
xgb,6,0.6194553729846487,0.17579408543263966,0.09430356323719025,0.07180660963058472,0.03448975458741188
logit,7,0.5767073318566028,0.11226725082146768,0.07043749029680216,0.09678517834920497,0.6888745902542533
xgb,7,0.5952154422415936,0.19605695509309967,0.08658698201179504,0.09339874982833862,0.03991861641407013
logit,8,0.571427346942274,0.15772179627601315,0.10565764595838043,0.12095717424501928,0.7967008869185732
xgb,8,0.600344815341344,0.21686746987951808,0.10721360892057419,0.08183103799819946,0.037002310156822205
logit,9,0.5987040037028466,0.1664841182913472,0.10701071893892743,0.33228029531153813,1.441094514140308
xgb,9,0.6373194035772142,0.20700985761226726,0.10526356846094131,0.07748395204544067,0.035547759383916855
logit,10,0.5713379594425649,0.15717415115005476,0.10445807752259183,0.19228995767111123,1.1004502227145945
xgb,10,0.5969015598730942,0.22015334063526834,0.1027275025844574,0.11644923686981201,0.04525023326277733
logit,11,0.5430462035414593,0.18127053669222343,0.12290882307639954,0.21169633540105437,1.4031771707068352
xgb,11,0.6025378702999624,0.23713033953997809,0.11403120309114456,0.10302925109863281,0.04140371084213257
logit,12,0.5619620678634796,0.13636363636363635,0.07588948299481137,0.13467069247009733,0.7282512922253102
xgb,12,0.5673583789760601,0.21412924424972618,0.10405194014310837,0.08905667066574097,0.03870905935764313
logit,13,0.5783040619883943,0.17360350492880613,0.10155138681729158,0.23995296895306062,1.1106266899365742
xgb,13,0.6080431606930102,0.1976998904709748,0.09649986028671265,0.10758566856384277,0.04277924820780754
logit,14,0.5180777034514595,0.2289156626506024,0.15733107308513214,0.3801185515279334,2.3064664765715883
xgb,14,0.5977905369249965,0.24808324205914567,0.1288071572780609,0.10725009441375732,0.0427718348801136
logit,15,0.5784840614741101,0.1456736035049288,0.0939118833760886,0.1654157677116418,0.9431195866474538
xgb,15,0.5957952365034059,0.20262869660460023,0.09824104607105255,0.0896759033203125,0.039037518203258514
logit,16,0.5591004433864883,0.18565169769989048,0.1272207194564719,0.2207029889056873,1.268695064673338
xgb,16,0.5872636282263684,0.24260679079956188,0.11659325659275055,0.06659197807312012,0.03352943807840347
logit,17,0.5641587962809902,0.11883899233296824,0.07074599284399873,0.20790509746801944,1.0554473565364832
xgb,17,0.5963689083337314,0.20920043811610076,0.09544514119625092,0.06825882196426392,0.033620867878198624
logit,18,0.5560575949374839,0.15826944140197152,0.10773252341019095,0.22617483439788744,1.2706885564988466
xgb,18,0.5670596043194979,0.2343921139101862,0.11614622920751572,0.1208696961402893,0.045561932027339935
logit,19,0.5702836767405154,0.1829134720700986,0.13137145341065298,0.3323721479898236,1.5542804275613593
xgb,19,0.589089337295771,0.2524644030668127,0.12300480902194977,0.09411263465881348,0.03923317790031433
logit,20,0.5765959036035407,0.14457831325301204,0.09464804844326787,0.27715228701284234,1.4533170911596474
xgb,20,0.6060399011104867,0.2086527929901424,0.09754853695631027,0.07084256410598755,0.03443804010748863
